# Mo-Nm,Mw,Mw-std,Mw-std-err,Mw-Nobs,UTC
5.988e+10,1.152,0.000,0.000,1,2013-05-06T09:56:49.59
7.909e+10,1.232,0.000,0.000,1,2013-05-06T10:07:28.85
6.977e+11,1.862,0.000,0.000,1,2013-05-06T10:25:37.85
1.796e+12,2.136,0.150,0.057,7,2013-05-06T10:28:33.80
4.862e+10,1.091,0.000,0.000,1,2013-05-06T10:32:07.97
3.041e+11,1.622,0.000,0.000,1,2013-05-06T11:01:54.49
3.047e+12,2.289,0.239,0.080,9,2013-05-07T05:44:35.63
2.950e+12,2.280,0.000,0.000,1,2013-05-08T05:53:08.74
1.542e+12,2.092,0.196,0.139,2,2013-05-10T09:52:31.14
9.562e+12,2.620,0.250,0.063,16,2013-05-13T08:17:05.06
2.080e+13,2.845,0.207,0.047,19,2013-05-14T07:49:50.03
2.220e+12,2.198,0.175,0.088,4,2013-05-14T08:15:28.78
1.963e+12,2.162,0.301,0.174,3,2013-05-14T09:00:26.24
1.830e+12,2.142,0.000,0.000,1,2013-05-14T09:09:09.45
1.843e+13,2.810,0.245,0.051,23,2013-05-15T09:15:23.54
1.975e+12,2.164,0.250,0.112,5,2013-05-16T23:34:40.06
4.371e+12,2.394,0.107,0.076,2,2013-05-18T19:27:00.41
2.065e+12,2.177,0.248,0.083,9,2013-05-19T13:26:48.34
2.270e+12,2.204,0.200,0.090,5,2013-05-19T16:12:12.51
2.639e+11,1.581,0.000,0.000,1,2013-05-20T18:30:55.40
3.186e+12,2.302,0.000,0.000,1,2013-05-21T09:37:12.24
8.308e+12,2.580,0.158,0.065,6,2013-05-21T17:18:39.20
3.501e+12,2.329,0.160,0.065,6,2013-05-22T14:43:02.84
1.430e+13,2.737,0.059,0.042,2,2013-05-22T16:57:42.40
5.334e+12,2.451,0.050,0.029,3,2013-05-22T17:20:25.30
1.836e+13,2.809,0.290,0.070,17,2013-05-23T11:02:29.09
1.361e+12,2.056,0.000,0.000,1,2013-05-23T12:49:18.50
4.648e+11,1.745,0.000,0.000,1,2013-05-24T12:30:02.72
1.090e+12,1.992,0.000,0.000,1,2013-05-24T13:21:20.19
1.971e+12,2.163,0.141,0.082,3,2013-05-25T15:02:40.83
8.015e+12,2.569,0.480,0.339,2,2013-05-25T17:57:39.27
8.770e+12,2.595,0.126,0.056,5,2013-05-25T17:59:02.21
4.051e+12,2.372,0.208,0.104,4,2013-05-26T09:19:42.81
3.902e+12,2.361,0.213,0.095,5,2013-05-26T10:14:24.21
1.469e+12,2.078,0.279,0.077,13,2013-05-26T10:27:16.05
3.122e+11,1.630,0.070,0.049,2,2013-05-27T19:54:08.15
2.201e+12,2.195,0.154,0.109,2,2013-05-27T21:55:03.79
